,Name,Dish,Area,Service,Min,Contact,WhatsApp,Website,Address,lng,lat
206,Guang Xing Original Fish Head Bee Hoon,"Fish Soup, Fish Head Bee Hoon",East,Self Pickup,,91869313,,,Village Food Centre Stall #01-31 Singapore 500002,103.90802400000007,1.3107870000000617
208,Hai’s Roasted Meat Supplier,"Sio Bak, Char Siew, Roast Duck",North,Delivery / Self Pickup,"< $50 with $10 delivery fee, else $5",91191833,,,15 Woodlands Loop #03-31/32 Singapore 738322,103.80908700000003,1.448568000000023
210,Haji Osman Nasi Ayam,Nasi Ayam,North,Self Pickup,,,98399440.0,,6 Yishun Industrial Street 1,103.84366500000004,1.4366790000000265
212,Happy Joy Restaurant,Chinese,,Delivery / Self Pickup,Pls Enquire,62518135,87891076.0,,"36 Newton Road, Hotel Royal #02-01 Singapore 556747",103.84195950000009,1.3168170000000714
213,HarriAnns Nonya Table (Aljunied),"Kueh, Nonya Laksa, Curry Chicken",,Islandwide,Pls Enquire,97923523,91385385.0,,1007 Aljunied Avenue 4 #01-05/07 Singapore 389908,103.88907900000004,1.3214250000000334
214,HarriAnns Nonya Table (Bugis Junction),"Kueh, Nonya Laksa, Curry Chicken",,Islandwide,Pls Enquire,97923523,91385385.0,,230 Victoria Street #01-01A Singapore 188024,103.85605800000008,1.2999690000000328
215,HarriAnns Nonya Table (Suntec City),"Kueh, Nonya Laksa, Curry Chicken",,Islandwide,Pls Enquire,97923523,91385385.0,,3 Temasek Boulevard #01-416A Suntec City Tower 5 Singapore 038983,103.85930700000006,1.2950010000000702
218,Herbal Brew,Double Boiled Soup,West,Self Pickup,,91766850,90042561.0,,Blk 20 Ghim Moh Road #01-53 Singapore 270020,103.78822950000006,1.3109940000000506
219,Hock Lam Beef Noodle,Beef Noodle,South,Self Pickup,,65350084,,,6 North Canal Road,103.84904700000004,1.2860730000000444
220,Hoe Hokkien Mee,Hokkien Mee,Central,Delivery / Self Pickup,,90991178,,,861 North Bridge Road #01-93 Singapore 198783,103.86391050000009,1.3056300000000647
221,Hoe Kee Chicken Rice & Porridge,"Chicken Rice, Char Siew",South,Self Pickup,,,96692544.0,,79 Telok Blangah Drive #01-31 Singapore 100079,103.80762900000008,1.2733650000000694
222,HoHo Chimek,"Korean, Chicken Wings",East,Self Pickup,,67332828,92398993.0,,430 Upper Changi Road East Village #01-45 Singapore 487048,103.94620200000008,1.3317750000000501
225,Home Taste Chicken Rice,Chicken Rice,North,Ang Mo Kio,Pls Enquire,97518127,,,108 Ang Mo Kio Avenue 4 #01-74,103.83820650000007,1.3709610000000225
226,Home Taste 家味,"Chicken Rice, Porridge",North,Islandwide,"Within AMK FOC, others min $35",97518127,,,108 Ang Mo Kio Ave 4 #01-74 Singapore 560108,103.83820650000007,1.3709610000000225
227,Homeground Grill and Bar,Western,North,Delivery / Self Pickup,$50,,,,1088 Serangoon Road Singapore 328188,103.86499500000008,1.3236480000000483
228,Hon Ni Kitchen,Dim Sum,East,Call to Enquire,$60 (FOC delivery) else $5 delivery fee,93399183,,,216 Bedok North Street 1,103.93333650000005,1.3269780000000537
229,Hong Ho Phang Hong Kong Tim Sum (Bukit Batok),"Dim Sum, Soon Kueh, Siew Mai",West,Self Pickup,,97237583,,,Blk 150 Bukit Batok Street 11 #01-224 Singapore 650150,103.74367050000006,1.3487850000000208
231,Hong Kong Street Family Restaurant,Zi Char,Central,Self Pickup,,62523132,,https://www.facebook.com/hkstreetfam/,273 Thomson Road # 01-01 Singapore 307644,103.84198650000008,1.3205430000000433
233,Hong Qin Fish & Duck Porridge,"Fish Soup, Fish Porridge",East,Self Pickup,,90614988,82347917.0,,134 Geylang East Avenue 1,103.88601000000006,1.315998000000036
234,Hong Yun Fish Soup,"Fish Soup, Carrot Cake",Central,Self Pickup,,81338209,90601806.0,,17 Upper Boon Keng Rd #01-53,103.87161900000007,1.3150260000000458
235,Hopstation,"Western, Craft Beer",Central,Delivery / Self Pickup,Pls Enquire,92324675,,,18 Cross Street #01-108 Cross Street Exchange Singapore 048423,103.84687800000006,1.2835170000000744
236,Hot Plate Western Food,Western,South,Self Pickup,,,93820954.0,,30 Seng Poh Road #02-54 Singapore 168898,103.83241950000007,1.2846870000000195
237,Hotpot Dynasty,Zi Char,North,Self Pickup,,83123483,,,50 Serangoon North Avenue 4 #01-30,103.87582200000008,1.3756860000000302
238,Hougang Nonya Kueh,Kueh,East,Islandwide,Pls Enquire,,81000880.0,,3020 Ubi Avenue 2 #02-113,103.89357000000007,1.3280220000000327
241,Huan Xi Cooked Food,"Steamed Fish, Zi Char",South,Self Pickup,,92271518,,,Blk 335 Smith Street #02-46/02-47 Chinatown Hawker Complex,103.84319250000004,1.282275000000027
242,Huay Kwang Wanton Mee,Wanton Noodle,East,Self Pickup,,,93831597.0,,3021 Ubi Avenue 2,103.89480750000007,1.328499000000022
244,Hup Seng Huat Seafood (Yishun),"Seafood, Zi Char",North,Delivery / Self Pickup,"Limited to Yishun/Khatib, Pls Enquire",62573944,96403618.0,,630 Yishun Street 61 Singapore 760630,103.83759900000007,1.4178870000000643
245,I Want My Noodle,Minced Meat Noodle,Central,Self Pickup,,,87261151.0,,1 Scotts Road #03-14/15,103.83360750000008,1.3072680000000219
248,Ikan Bakar BBQ,"BBQ Stingray, Sotong",West,Self Pickup,,83129661,,,163A Gangsa Road,103.76435250000009,1.376937000000055
250,Inspirit House,"Bento, Western",North-East,,"$40 FOC, $20 FOC to SK, PG on bentos",,96458881.0,,3 Punggol Point Road #01-05 The Punggol Settlement Singapore 828694,103.91220000000004,1.4208840000000578
251,Istimewa Kitchen*,"Mutton Rendang, Asam Pedas, Muslim",East,Self Pickup,Pls Enquire,94556728,,,3014 Bedok industrial park E Singapore 489980,103.95028800000006,1.335456000000022
253,Ji Xiang Seafood,Zi Char,East,Islandwide,FOC for $40 Set Menu,,93837810.0,,21 Old Airport Road Singapore 390021,103.88441250000005,1.3075830000000224
257,Jiao Cai Seafood (Woodlands),"Grilled Seafood, Zi Char",North,Limited Delivery,Pls Enquire,82821253,,,306 Woodlands Street 31 #01-19,103.77464400000008,1.4298930000000496
259,Jin Ji Teochew Braised Duck,Braised Duck Rice,South,Delivery / Self Pickup,Pls Enquire,90189052,,,335 Smith Street #02-156,103.84319250000004,1.282275000000027
262,Joo Bar,Korean Food,Central,Delivery / Self Pickup,$80 FOC else $15 delivery fee,,,http://joo-bar.com/shop/,5 Tan Quee Lan Street,103.85685450000005,1.2980880000000639
263,Jun Korean BBQ & Beer,Korean,West,Islandwide,$50 FOC else $9 delivery fee,67388887,98429033.0,https://www.junbbq.sg/delivery-takeout,20 Biopolis Way #01-01 Centros Singapore 138668,103.79186100000004,1.3037850000000617
264,Jun Yuan House of Fish,Fish Soup,East,Limited Delivery,Pls Enquire,93211866,,,51 Old Airport Road #01-69,103.88580750000006,1.3082490000000462
265,JY Lam Eating House,"Ban Mian, Mee Hoon Kuay",West,Self Pickup,,91467608,88768953.0,,2 Venture Drive #02-45 Vision Exchange Singapore 608526,103.74457500000005,1.3301550000000475
266,Ka-Soh,Fish Soup,South,Call to Enquire,$50,64736686,,https://www.ka-soh.com.sg,2 College Road,103.83595200000008,1.282239000000061
267,Kai Huat Roasted Supply,"Roast Duck, Char Siew, Sio Bak",East,,$60 FOC else $10 delivery fee,96322894,,,3020 Ubi Ave 2 #03-125 Singapore 408896,103.89357000000007,1.3280220000000327
270,Kamikaze Asian Tapas Bar,"Skewers, Tapas",North,Delivery / Self Pickup,$25,,,https://www.fb.com/kamikazeasiantapasbar,"81 Lorong Chencharu, ORTO, Singapore 769198",103.82950350000004,1.4127840000000447
271,KARA Cafe and Dessert Bar,"Japanese, Fusion",West,Islandwide,Pls Enquire,97964206,,,617 Bukit Timah Road Singapore 269718,103.80931200000003,1.3244040000000723
274,Keng Eng Kee Seafood,"Zi Char, Burger",West,Islandwide,$50,62721038,,https://order.kek.com.sg,124 Bukit Merah Lane 1 #01-136 Singapore 150124,103.80353850000006,1.2858210000000554
277,Kim's Place Seafood,"Seafood, Zi Char",East,Islandwide,$50,67421119,,http://www.kimsplaceseafood.com,45 Joo Chiat Place Singapore 427769,103.90332600000005,1.3127670000000649
278,Kin Moo,Thai Food,Central,Delivery / Self Pickup,$80 FOC else $15 delivery fee,,,http://kin-moo.com/takeaways/,2 Tan Quee Lan Street #01-02 Singapore 188091,103.85693550000008,1.2979980000000637
280,Kok Sen Restaurant,Zi Char,South,Self Pickup,,62232005,96984119.0,,30 Keong Saik Road Singapore 089137,103.84173450000009,1.280232000000069
281,Kor Kai,Thai Food,North,Delivery / Self Pickup,,65094220,88698242.0,https://tinyurl.com/KorKai-TakeawayMenu,1 Maju Avenue #B1-25 Singapore 556679,103.86516600000004,1.365192000000036
283,Kucina Italian Restaurant,"Italian, Gnocchi, Tortellini",East,Islandwide,$50 / Pls Enquire,91729662,,https://www.kucinaitalian.com/,11 Tanjong Katong Road # B1-09/10 Singapore 437157,103.89472650000005,1.3146030000000337
284,Kueh Ho Jiak,Kueh,,Islandwide,,,,http://www.kuehhojiak.com,6 Tanjong Pagar Plaza #02-20 Singapore 081006,103.84313400000008,1.2766860000000406
285,Kwee Zeen,"Chinese, Fusion",South,Self Pickup,,67088310,,www.sofitel-singapore-sentosa.com,2 Bukit Manis Road Sentosa Island Singapore 099891,103.82749650000005,1.2465630000000374
286,Kwong Wai Cantonese Cuisine,Zi Char,South,Self Pickup,,90039117,,,30 Seng Poh Road #02-52 Singapore 168898,103.83241950000007,1.2846870000000195
287,Kyuubei Izakaya,Japanese,East,Delivery / Self Pickup,Pls Enquire,65090909,91373737.0,,1 Netheravon Rd Singapore 508502,103.98576600000007,1.3905630000000428
289,Lau Fu Zi Char Kway Teow,Fried Kway Teow,East,Islandwide,"Within 5km, $6 delivery fee, else $10",,96178785.0,,51 Old Airport Road #01-12 Singapore 390051,103.88580750000006,1.3082490000000462
290,Lau’s Mee Siam n Mee Rebus,"Mee Siam, Mee Rebus",East,Self Pickup,,94206662,,,216 Bedok North Street 1 #01-06 Singapore 460133,103.93333650000005,1.3269780000000537
291,Le Chasseur,Claypot Rice,East,Self Pickup,,63377677,91440322.0,,27 Eunos Road 2,103.89948300000003,1.3207500000000323
292,Le Le Pot (East Coast),Steamboat,East,Self Pickup,,63488597,,,382 East Coast Road Singapore 428987,103.91142600000006,1.308537000000058
293,Le Le Pot (Tiong Bahru),Steamboat,South,Self Pickup,,62229442,,,58 Seng Poh Road #01-23 Singapore 160058,103.83297750000008,1.2846240000000648
294,Leaf Corner,"Vegetarian, Nasi Lemak",North,Limited Delivery,$20 with $5 delivery fee,,83119831.0,,5 Jalan Legundi Singapore 759269,103.82370750000007,1.4413050000000567
296,Lee Do Restaurant,"Bento, Fuzhou Dishes",East,Delivery / Self Pickup,,91189196,,,61 Ubi Avenue 2 #01-13 Singapore 408898,103.90124700000007,1.3315500000000497
297,Legendary Bak Kut Teh @ Rangoon,Bak Kut Teh,Central,Delivery / Self Pickup,$60 FOC,,96450125.0,,154 Rangoon road Singapore 218431,103.85345250000006,1.316250000000025
298,Lek Chew Satay & Rojak,"Satay, Rojak",Central,Self Pickup,,90286207,,,124 Toa Payoh Lor 1 #01-459 Singapore 310124,103.84462800000006,1.3386510000000271
299,Leng Kee Fish Soup,Fish Soup,West,Self Pickup,,91832656,,,51 Upper Bukit Timah Road #02-192 Singapore 588172,103.77600750000005,1.3394520000000512
300,Lian Seng Fried Kway Tiao,Fried Kway Teow,West,Self Pickup,,97455047,,,#02-172 Bukit Timah Market & Food Centre Singapore 588215,103.76451000000009,1.3132800000000202
302,Lian Soon Huat Seafood (Bukit Panjang),Zi Char,West,Delivery / Self Pickup,,92269000,,www.liansoonhuatseafood.getz.co,259 Bukit Panjang Ring Road Singapore 671259,103.77331200000003,1.3770540000000437
303,Lian Soon Huat Seafood (Yishun),Zi Char,North,Delivery / Self Pickup,,97955102,,www.liansoonhuatseafood.getz.co,417 Yishun Avenue 11 Singapore 760417,103.84632900000008,1.4243850000000293
305,Lighthouse Bistro,"Western, Fusion, Pasta",Central,Delivery / Self Pickup,Pls Enquire,63901699,,www.lighthouse-sg.com,75 Jellicoe Road #01-01 Wavelink Building Singapore 208738,103.86267750000007,1.308573000000024
306,Lin Lin Vegetarian Delight,Vegetarian,East,Self Pickup,,62427010,97803474.0,,412 Bedok North Avenue 2 #01-114 Singapore 460412,103.93109100000004,1.3292910000000688
307,Ling Ji Handmade Yong Tau Foo,Yong Tau Foo,East,Self Pickup,,98604250,,https://www.facebook.com/lingjiyongtaufoo/,63 Kallang Bahru Singapore 330063,103.86832050000004,1.3210020000000213
308,Lion City Delicacies,"Claypot, Zi Char",East,Islandwide,$150 FOC else $10 delivery fee / Pls Enquire,62428283,96393233.0,,389 Changi Road Singapore 419838,103.91037300000005,1.3189140000000634
309,Little Bowl,Rice Bowl,Central,Delivery / Self Pickup,Pls Enquire,,81398218.0,,5 Straits View Marina One The Heart #B2-34 Singapore 018925,103.85293950000005,1.2773070000000644
310,Little Fresh Seafood Soup,"Seafood Soup, Fish Soup",West,Delivery / Self Pickup,"$50 FOC, $20 FOC if west area",,90014651.0,,8 Boon Lay Way #01-30,103.75357050000008,1.3276440000000207
311,Lombardos Singapore,"Burger, Pizza",South,Delivery / Self Pickup,,,,http://www.lombardos.sg,15 Duxton Road Singapore 089481,103.84341300000006,1.2797730000000342
313,Lu Heng Kee Hokkien Mee,"Hokkien Mee, Carrot Cake",West,Self Pickup,,91544117,,,959 Jurong West Street 92 Singapore 640959,103.69075500000008,1.3414770000000544
314,Lucha Loco Mexican Restaurant,"Tacos, Burritos, Margaritas",South,Islandwide,FOC if within 1.5km / > $80 - $10 delivery fee else $18,,87981035.0,,15 Duxton Hill Singapore 089598,103.84258950000009,1.2787830000000326
315,Lucid,"Cafe, Cakes, Coffee",Central,Self Pickup,Pls Enquire,,81149768.0,,38 Hamilton Road,103.86150300000008,1.3114800000000741
316,Lucky Lucky Catering & Restaurant,"Zi Char, Bee Hoon",Central,Delivery / Self Pickup,Delivery to CBD areas / Chinatown only,63232853,,http://www.luckyluckycatering.com/lunch-menu,41 Mosque Street,103.84490250000005,1.2838950000000295
318,Lye Heng Food Supplies*,"Curry Chicken, Assam Fish",North,Islandwide,Pls Enquire,89331844,,,"15 Woodlands Loop, # 04-22, Singapore 738322",103.80908700000003,1.448568000000023
319,Makansutra Gluttons Bay,"Satay, Mee Goreng, Char Kway Teow",South,Islandwide,Pls Enquire,86158420,,,8 Raffles Avenue #01-15 Singapore 039802,103.85653050000008,1.2892950000000383
321,Manna Korean Restaurant (Plaza Singapura),Korean,Central,Delivery / Self Pickup,,62277425,86794891.0,www.facebook.com/mannakorea.sg,68 Orchard Road #B2-22 Singapore 238839,103.84498350000007,1.3000320000000443
322,Manna Korean Restaurant (Telok Ayer),Korean,South,Delivery / Self Pickup,,62277425,86794891.0,www.facebook.com/mannakorea.sg,101-109 Telok Ayer Street Singapore 068574,103.84846200000004,1.2817800000000261
324,MARUKYU Japanese Dining,"Japanese, Bento",South,Self Pickup,,97360574,,,116 Telok Ayer Street,103.84816950000004,1.2820410000000493
327,Meat & Greet,"Western, Fusion",South,Delivery / Self Pickup,Pls Enquire,93622462,,https://www.instagram.com/meatandgreetsg/,102 Henderson Road Singapore 159562,103.82157900000004,1.2903660000000627
328,Meat n 'Chill,"Western, Steak, Ribs",West,Islandwide,$70 FOC / Pls Enquire,62197460,88124455.0,www.meatnchill.com,805 Bukit Timah Road #01-04 Singapore 279883,103.79500200000007,1.331433000000061
329,MediumRare by Saveur,"Western, Steak",East,Self Pickup,,67891121,,,2 Tampines Central 5 #01-35 Singapore 529509,103.94378550000005,1.352358000000038
330,Meet Paul,Western,South,Self Pickup,,,94566687.0,,1 Tanjong Pagar Plaza #02-04 Singapore 082001,103.84241850000006,1.275615000000073
331,Mellben Legend Seafood,"Seafood, Zi Char",East,Delivery / Self Pickup,,,83110435.0,,440 Pasir Ris Drive 4 #01-13 Singapore 510440,103.95869850000008,1.3690080000000648
332,Meng Kee,"Fried Oyster, Satay Bee Hoon",Central,Delivery / Self Pickup,$50 FOC / $20 with delivery fee of $3,83481926,,,29 Tai Thong Crescent,103.86982800000004,1.3290570000000343
336,Ming Qi Fried Hokkien Prawn Noodle,Hokkien Prawn Noodle,North,Self Pickup,,81982653,92265996.0,,925 Yishun Central 1 Singapore 760925,103.83728850000006,1.4278680000000463
337,Ming Wu Xiang Xia Bing,"Wu Xiang, Prawn Fritters",Central,Self Pickup,,,,,32 New Market Road #01-1118,103.84258050000005,1.2848580000000425
339,MIZ Japanese Restaurant,Japanese,South,Self Pickup,,,83993441.0,,17 Kampong Bahru Road Singapore 169347,103.83666750000003,1.277127000000064
340,Modern Asian Desserts,"Desserts, Bubble Tea",North,Delivery / Self Pickup,$15,,,https://www.fb.com/modernasiandesserts,"81 Lorong Chencharu, ORTO, Singapore 769198",103.82950350000004,1.4127840000000447
341,Momma Kong’s,"Seafood, Zi char",Central,Islandwide,Pls Enquire,62252722,,www.mommakongs.com,34 Mosque Street Singapore 059512,103.84523550000006,1.2836970000000747
344,Mr Bready,"Bread, Kueh",West,Delivery / Self Pickup,,82336855,,https://www.facebook.com/mrbreadysg,159 Mei Chin Road # 02-31,103.80290400000007,1.2932370000000333
345,Mr Fish,"Fish Soup, Hor Fun",South,Self Pickup,,90297508,,,335 Smith Street #02-073,103.84319250000004,1.282275000000027
347,Multi Food Supply,"Mala Hot Pot, Yakitori",Central,Delivery / Self Pickup,$30 / Pls Enquire,90615461,,,166 Jalan Besar #B1-03 Berseh Food Centre Singapore 208877,103.85689050000008,1.3073400000000674
349,My Thai Pot,Thai Food,West,Delivery / Self Pickup,Pls Enquire,,82222113.0,,635C Senja Road Singapore 673635,103.75832700000007,1.386540000000025
350,Naga Imo,Japanese,Central,Delivery / Self Pickup,$60 FOC else $5 delivery fee,96388182,85955111.0,,82 Club Street,103.84562700000004,1.2819510000000491
354,Nassim Hill Bakery Bistro Bar,Western,Central,Islandwide,$150 FOC,,,https://order.nassimhill.com.sg,56 Tanglin Road #01-03 Singapore 247964,103.82314050000008,1.305603000000076
355,Nelly's Retro Snacks,"Snacks, Biscuits",North,Delivery / Self Pickup,$50 FOC else $5 delivery fee,97687152,,,418 Yishun Avenue 11 #01-417,103.84725150000008,1.4248980000000415
356,New Station Snack Bar,Zi Char,Central,Delivery / Self Pickup,Pls Enquire,67342862,,,14 Scotts Road #05-95,103.83360750000008,1.3072680000000219
357,Newton Zheng Meng Kee Prawn Noodle Soup,"Prawn Noodle, Lor Mee",North,Self Pickup,,,,,414 Yishun Ring Road Singapore 760414,103.84659450000004,1.4245290000000637
358,Ng Soon Kee Fish & Duck Porridge,"Fish Soup, Braised Duck",East,Self Pickup,,67476014,,,117 Aljunied Avenue 2 #01-11,103.88702250000006,1.3206420000000207
359,Nifty Grill Western Food,Western,Central,Self Pickup,,93877828,,,166 Jalan Besar #05-01 Berseh Food Centre Stall 5,103.85689050000008,1.3073400000000674
361,Nonya Nonya Restaurant,Peranakan,North,Delivery / Self Pickup,$100 FOC / $50 with $10 delivery fee,62824021,91860855.0,,12 Maju Avenue,103.86576900000006,1.3649220000000355
366,O Banh Mi - Vietnamese Street Food,"Vietnamese Food, Banh Mi",South,Self Pickup,,63528929,,,302 Tiong Bahru Road #02-113 Tiong Bahru Plaza Singapore 168732,103.84498350000007,1.3000320000000443
367,o-komé,Rice Bowl,South,Delivery / Self Pickup,Pls Enquire,,96390920.0,https://www.facebook.com/okomesg/,102 Henderson Road Singapore 159562 (Unit 6) City Sprouts,103.82157900000004,1.2903660000000627
369,Okada Coffee & Sweets,"Cakes, Coffee",East,Delivery / Self Pickup,Pls Enquire,,93871532.0,,153 Joo Chiat Road Singapore 427431,103.90014900000006,1.3128750000000196
372,Omoté,Japanese,North,Delivery / Self Pickup,$5 delivery fee for postal code starting 77/78/56/57,,94521521.0,,301 Upper Thomson Road Singapore 574408,103.83082650000006,1.3548150000000305
373,One Bar Cafe,Western,East,Delivery / Self Pickup,Pls Enquire,87982625,,,1 Irving Place #01-25 The Commerze Singapore 369546,103.88643300000007,1.3362390000000346
380,Parklane Zha Yun Tun Mee House,Wanton Noodle,Central,Self Pickup,,94305881,,,91 Bencoolen Street # 01-53 Singapore 189652,103.85104050000007,1.3003020000000447
381,Patissier Woo,"Cakes, Pastries",West,Delivery / Self Pickup,Pls Enquire,96310150,,,76 Jalan Jurong Kechil Singapore 598589,103.77333000000004,1.3405500000000643
383,Penang Kitchen,"Assam Laksa, Prawn Mee",West,Delivery / Self Pickup,Pls Enquire,,91182022.0,,5 Coronation Road #01-05 Coronation Arcade Singapore 269406,103.81052700000004,1.323297000000025
385,Petite Joy Bakes,Cakes,East,Delivery / Self Pickup,Pls Enquire,,87754468.0,order.petitejoybakes.com,1 Irving Place #02-26 The Commerze @ Irving Singapore 369546,103.88643300000007,1.3362390000000346
387,Phoenix Roast,"Sio Bak, Char Siew",East,Self Pickup,,81444689,,,466 Crawford Lane #01-12,103.86260100000004,1.3050810000000297
388,Phuket Town Mookata,Mookata,North,Islandwide,$50 with delivery fee of $10,86130826,,,340 Ang Mo Kio Avenue 1 #01-1697,103.82920200000007,1.379709000000048
389,Play Nation,"Western, Snacks",East,Self Pickup,,69044885,,,1 Tampines Walk #B1-17/18/19 Singapore 528523,103.92641100000009,1.3665150000000494
390,Pretty Easy Cafe,Western,Central,Delivery / Self Pickup,"$100 FOC, $50-$70 ($15), $71-$99 ($10)",81912881,,,1 Coleman Street #B1-29 & 30 The Adelphi Singapore 408734,103.85118000000006,1.2911850000000413
391,Puncak Best Noodle*,"Muslim Food, Zi Char",Central,Delivery / Self Pickup,$35,67384348,,,14 Scotts Road #05-93/94,103.83360750000008,1.3072680000000219
394,PX Cafe,Western,East,Delivery / Self Pickup,$30 (within 1km with $5 delivery fee),62140380,88704135.0,,865 Mountbatten Road # 01-29 Singapore 437844,103.90124700000007,1.303965000000062
395,Qi Xiang Chicken Pot,Chicken Pot,North,Delivery / Self Pickup,$50 / Pls Enquire,93900880,,,973 Upper Serangoon Road Singapore 534725,103.88675250000006,1.3619880000000535
396,Quan Ji Teochew Noodles,Minced Meat Noodle,North,Self Pickup,,,91882844.0,,260 Ang Mo Kio Street 21 #01-06 Singapore 560260,103.83450300000004,1.3689180000000647
397,Quan Xiang Yuan (Jing Ji) Seafood Restaurant,Zi Char,Central,Delivery / Self Pickup,Pls Enquire,62946254,98222056.0,,252 Jalan Besar Singapore 208925,103.85829450000006,1.3096620000000598
398,Racines,"French, Chinese",South,Delivery / Self Pickup,Pls Enquire,64285110,,https://www.sofitel-singapore-citycentre.com/offers/racines-takeaway/,9 Wallich Street Singapore 078885,103.84506900000008,1.2769020000000637
400,Rajah Mas Catering,Muslim Catering,North,Delivery / Self Pickup,Pls Enquire,,88762625.0,,8A Admiralty Street #07-30 FoodXchange@Admiralty Singapore 757437,103.81469400000009,1.4631300000000351
401,Ramen Tenji,Ramen,South,Delivery / Self Pickup,,62765708,,,460 Alexandra Road #02-23 ARC Singapore 119963,103.80122550000004,1.2735630000000242
404,Revelry,Western,West,Islandwide,$50 with $10 delivery fee / Pls Enquire,92780466,,https://www.facebook.com/revelrysg,21 Lorong Kilat # 01-02 Singapore 598123,103.77324900000008,1.3408020000000533
405,Rice Bowl Gold,"Salted Egg Chicken Rice, Fried Rice",Central,Delivery / Self Pickup,10 pax with $15 delivery fee,96388757,,,1 Rochor Canal Road Sim Lim Square #02-01 Singapore 188504,103.85303850000008,1.3030200000000605
408,Robo Chef Fried Rice,Fried Rice,North,Self Pickup,,94881911,,,53 Ang Mo Kio Avenue 3 #03-12 Singapore 566933,103.84841250000005,1.3691880000000651
410,RojakStory (Grantral Mall),Rojak,West,Islandwide,$25 with $5 delivery fee,,97370177.0,,3151 Commonwealth Avenue West #01-26 Singapore 129581,103.76514900000006,1.3142700000000218
411,Royal Durian,"Durian, Cakes, Desserts",West,Delivery / Self Pickup,Pls Enquire,81868552,,,134 Jurong Gateway Road #01-303A Singapore 600134,103.73881950000003,1.333998000000065
412,Sabai Thai Cuisine,Thai Food,East,Self Pickup,,91111555,,,301 Ubi Avenue 1 #01-305 Singapore 400301,103.90195350000005,1.330686000000071
414,Sawadee Thai Cuisine,Thai Food,Central,Delivery / Self Pickup,$50,62386833,89322091.0,www.sawadee-cuisine.com,9 Tan Quee Lan Street. TQL Suites #01-01 Singapore 188098,103.85665200000005,1.2983130000000642
416,Seafood Park (Bedok South),Zi Char,East,Self Pickup,,64499687,,http://seafoodpark.getz.co/,69 Bedok South Avenue 3 #01-468 Singapore 460069,103.94338500000003,1.319319000000064
417,Seafood Park (Clementi),Zi Char,West,Self Pickup,,67757549,,http://seafoodpark.getz.co/,107 Clementi Street 12 #01-K1 Singapore 120107,103.76995950000008,1.322253000000046
418,Seafood Park (Commonwealth),Zi Char,West,Self Pickup,,,,http://seafoodpark.getz.co/,118 Commonwealth Crescent #01-29 Singapore 140118,103.80069450000008,1.3067460000000324
419,Seafood Park (Jurong),Zi Char,West,Self Pickup,,68972308,,http://seafoodpark.getz.co/,496 Jurong West Street 41 #01-84 Singapore 640496,103.72383450000007,1.3499910000000455
420,Seafood Park (Tampines),Zi Char,East,Self Pickup,,62600548,,http://seafoodpark.getz.co/,823A Tampines Street 81 #01-02 Singapore 521823,103.93347600000004,1.348794000000055
421,Seafood Tripod @ Garden,Zi Char,West,Islandwide,Pls Enquire,62649788,93379118.0,,2 Jurong Gateway Road #01-02,103.74294600000007,1.3346010000000206
422,Sembawang Claypot Rice,"Claypot Rice, Fish Head Curry",North,Islandwide,Pls Enquire,97773313,,,4 Jalan Tampang Singapore 758948,103.82361750000007,1.4421780000000695
425,Seng Kee Bak Kut Teh,Bak Kut Teh,North,Self Pickup,,91182595,,,453 Ang Mo Kio Ave 10 #01-31 Signapore 560453,103.85598150000004,1.3685850000000528
428,Sheng Ji Shao La,"Roast Duck, Char Siew",West,Self Pickup,,91372767,,,55 Sungei Kadut Street 1 Stall 3 Singapore 729358,103.75006950000005,1.42227900000006
430,Shikaa By Nawab's,"Indian Muslim, Nasi Briyani",Central,Islandwide#,Pls Enquire,,87927030.0,,73 Desker Road,103.85565750000006,1.3088880000000245
432,Shisen Hanten by Chen Kentaro,"Mapo Tofu, Chinese, London Duck",Central,Islandwide,"$50 FOC to Orchard locations, $80 FOC IW",68316288,,https://shop-orchard.meritushotels.com/,Level 5 Chatterbox 333 Orchard Road Singapore 238867,103.83636600000006,1.3020570000000475
433,Shrove Tuesday,Ice Cream,Central,Self Pickup,,,,,94 Toa Payoh Lorong 4 #01-32,103.85359200000005,1.3256100000000401
434,Shukuu Izakaya,Japanese,South,Islandwide,$100 FOC / Pls Enquire,63279240,90124084.0,https://shukuu.sg/,8 Stanley Street Singapore 068727,103.84778250000005,1.2801150000000234
435,Siang Hee Seafood,Zi Char,North,Self Pickup,,97364067,,,49A Serangoon Garden Way Stall 20 Singapore 555945,103.86637200000007,1.3628610000000663
436,Simple Nasi Lemak,Nasi Lemak,East,Delivery / Self Pickup,Pls Enquire,81886325,96392486.0,,114 Lavender Street #01-09 CT Hub 2,103.86375750000008,1.3115700000000743
438,Sin Heng Claypot Bak Kut Teh,Bak Kut Teh,East,Self Pickup,,63458754,,,439 Joo Chiat Rd Singapore 427652,103.90438800000004,1.3071780000000217
439,Sin Hoi San Eating House,Zi Char,East,Self Pickup,,64406956,92354274.0,,187 East Coast Road Singapore 428893,103.90628700000008,1.307106000000033
440,Sin Kian Heng,Minced Pork Noodle,North,Delivery / Self Pickup,Pls Enquire,,98328149.0,,22 Sin Ming Road,103.83939450000008,1.3572810000000572
